id_rh,nilai_rh,id_waktu,id_tanggal
RH955,85.4,J21,T10
RH956,84.9,J21,T10
RH957,84.9,J21,T10
RH958,85,J21,T10
RH959,85.3,J21,T10
RH960,85.3,J22,T10
RH961,84.9,J22,T10
RH962,85.3,J22,T10
RH963,85.7,J22,T10
RH964,85.4,J22,T10
RH965,86.3,J22,T10
RH966,86.4,J23,T10
RH967,86.2,J23,T10
RH968,86.3,J23,T10
RH969,86.1,J23,T10
RH970,85.7,J23,T10
RH971,85.1,J23,T10
RH972,84.3,J24,T11
RH973,82.5,J24,T11
RH974,81.5,J24,T11
RH975,80.7,J24,T11
RH976,79.8,J24,T11
RH977,79,J24,T11
RH978,77.7,J1,T11
RH979,76.6,J1,T11
RH980,76.3,J1,T11
RH981,76,J1,T11
RH982,74.5,J1,T11
RH983,73.6,J1,T11
RH984,72.6,J2,T11
RH985,71.2,J2,T11
RH986,69.2,J2,T11
RH987,69.1,J2,T11
RH988,68.5,J2,T11
RH989,67.3,J2,T11
RH990,67.2,J3,T11
RH991,66.6,J3,T11
RH992,65.5,J3,T11
RH993,66.1,J3,T11
RH994,64.6,J3,T11
RH995,64.4,J3,T11
RH996,63.5,J4,T11
RH997,62.9,J4,T11
RH998,63.8,J4,T11
RH999,61.8,J4,T11
RH1000,61.8,J4,T11
RH1001,61.4,J4,T11
RH1002,62.1,J5,T11
RH1003,62.2,J5,T11
RH1004,62.5,J5,T11
